gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Adgrv1,0.608988938,0.225397619,0.611258589,0.094145572,4.853776448,3.71E-08,4.856046099,9.45E-09,110789
Adh5,0.136067127,0.405158468,0.123268839,0.286322202,0.13838451,0.224799582,0.125586222,0.207014047,11532
Adi1,-0.069266536,0.752576239,-0.111037997,0.451117799,1.552624347,3.60E-07,1.510852885,1.17E-07,104923
Adipoq,-0.31781633,0.200230071,NA,NA,NA,NA,NA,NA,11450
Adk,0.007998808,0.961267702,0.011420505,0.919044128,0.388015997,0.001048981,0.391437694,0.000349354,11534
Adnp,-0.212707185,0.2640381,-0.227163376,0.100907582,-1.073093154,3.96E-06,-1.087549345,9.74E-07,11538
Ado,0.062722186,0.734065691,0.098767623,0.430921815,0.442109998,0.002515438,0.478155436,0.000538387,211488
Adpgk,0.312348149,0.176362002,0.398274278,0.036729232,-0.026302857,0.872573523,0.059623272,0.659791858,72141
Adprh,-0.058170246,0.834594105,0.097378113,0.594566172,-0.744941793,0.00069601,-0.589393435,0.001377396,11544
Adprs,-0.116031329,0.555957886,0.04744149,0.751175927,-0.56101935,0.000954053,-0.397546531,0.003784149,100206
Adrm1,-0.118265754,0.380173077,-0.135393164,0.158087155,0.039786205,0.680955139,0.022658794,0.7881384,56436
Adsl,0.010049167,0.959416613,-0.198136267,0.098843528,0.057792388,0.614822852,-0.150393045,0.131131043,11564
Adss1,0.321667344,0.14373279,0.302983774,0.053570441,-0.07033982,0.610729729,-0.089023389,0.451438068,11565
Adss2,0.257305319,0.128222924,0.223467391,0.05546798,0.206368809,0.05115659,0.172530882,0.060947224,11566
Afap1,0.234734488,0.628821613,NA,NA,NA,NA,NA,NA,70292
Aff3,NA,NA,-0.456385686,0.084196711,NA,NA,NA,NA,16764
Afg1l,-0.525725464,0.172573343,0.340797191,0.182941699,-2.457020847,9.08E-07,-1.590498192,1.10E-05,215951
Afg3l2,-0.444607268,0.057310719,-0.204249544,0.096199764,-0.674154848,6.91E-05,-0.433797124,0.000718817,69597
Afmid,-0.396558651,0.293576703,-0.44035682,0.107786468,0.516054488,0.055441474,0.47225632,0.046673588,71562
Aftph,NA,NA,-0.07372571,0.845419988,NA,NA,NA,NA,216549
Aga,0.245636499,0.66309466,NA,NA,NA,NA,NA,NA,11593
Agap1,-0.031411918,0.940818383,0.145105211,0.569435932,0.645748387,0.014518351,0.822265515,0.001440823,347722
Agap2,0.308953507,0.172401729,0.219113128,0.14471721,-0.214753651,0.145536022,-0.304594031,0.025828026,216439
Agap3,NA,NA,0.259112048,0.075509698,NA,NA,NA,NA,213990
Agfg1,-0.038149137,0.867801276,0.070014655,0.644595852,0.653296263,0.00041276,0.761460055,3.88E-05,15463
Agfg2,0.169694183,0.430951834,NA,NA,NA,NA,NA,NA,231801
Agl,0.445034327,0.118942239,0.398728737,0.04384139,-0.003518391,0.985104343,-0.049823981,0.738586566,77559
Ago1,-0.377084886,0.390391944,-0.098373802,0.773831783,-3.051179605,7.65E-07,-2.772468521,4.69E-07,236511
Ago2,-0.030184724,0.841656954,-0.06451942,0.503300641,-0.235040347,0.019316372,-0.269375042,0.004190684,239528
Agpat1,0.321946192,0.565335432,-0.804538088,0.063062008,2.105388774,0.000118547,0.978904494,0.009204298,55979
Agpat2,0.401819536,0.103946203,0.085949049,0.554100341,0.558821881,0.001165468,0.242951393,0.052929153,67512
Agpat3,0.140457952,0.563941201,0.214452499,0.205354566,-4.073905454,5.29E-10,-3.999910907,1.61E-10,28169
Agps,0.243748222,0.171983869,0.112976906,0.335141248,-0.193736151,0.0982656,-0.324507468,0.00510591,228061
Agrn,-0.187552964,0.833891884,0.333370551,0.599354908,2.206517043,0.002148628,2.727440558,0.000121162,11603
Ahctf1,-0.102776565,0.629262081,0.132134376,0.368980064,-1.615258701,2.83E-07,-1.38034776,2.85E-07,226747
Ahcy,-0.078688435,0.642454335,-0.139877235,0.228779469,-0.007427895,0.954318136,-0.068616696,0.49314575,269378
Ahcyl1,0.008994579,0.968646386,-0.069961555,0.617338016,-0.059837536,0.653445358,-0.13879367,0.220954629,229709
Ahcyl2,0.201139048,0.516276272,0.051085443,0.834960058,1.433464139,2.25E-05,1.283410534,1.64E-05,74340
Ahnak,-0.542086989,0.04463581,-0.425651894,0.027615636,-0.452391118,0.002609633,-0.335956023,0.006939283,66395
Ahsa1,0.073541375,0.690435568,0.065926045,0.618848577,0.850557939,1.81E-05,0.842942609,5.47E-06,217737
Ahsg,-0.782949559,0.277986322,-0.533225569,0.288622578,0.93517566,0.067176017,1.184899649,0.013092968,11625
Ahsp,-2.430731317,0.105863894,-2.160146541,0.038976624,-0.024586512,0.979257034,0.245998264,0.745644465,170812
Aifm1,0.020614502,0.892938215,0.01707504,0.874991112,-0.325395961,0.002845039,-0.328935424,0.001024754,26926
Aim2,-0.025099335,0.971881312,-0.088524362,0.868517549,5.495408874,2.71E-07,5.431983847,5.30E-08,383619
Aimp1,0.094819806,0.563202404,0.090486897,0.432329575,-0.105792427,0.342858722,-0.110125335,0.258855873,13722
Aimp2,-0.067210547,0.609617502,-0.094942051,0.295159872,-0.628897387,1.54E-05,-0.656628891,2.94E-06,231872
Aip,0.258014132,0.297114336,0.226292812,0.190089382,-0.096885884,0.574354386,-0.128607204,0.384671078,11632
Ak2,0.080649286,0.596694909,0.048462671,0.669755788,0.216853509,0.045824363,0.184666895,0.051205409,11637
Ak3,-0.530606292,0.120008655,-0.587911217,0.031991695,0.757880274,0.002023702,0.700575349,0.001333489,56248
Akap12,-0.972647712,0.079495165,-0.844833798,0.031561682,-1.731764114,5.91E-05,-1.6039502,3.38E-05,83397
Akap13,0.210900841,0.583339384,0.199108179,0.46027236,-2.386819314,1.64E-06,-2.398611976,4.25E-07,75547
Akap6,-0.063919718,0.802230358,NA,NA,NA,NA,NA,NA,238161
Akap8,-0.391379481,0.076377044,-0.204805663,0.093201547,0.942460826,3.70E-06,1.129034644,2.07E-07,56399
Akap8l,-0.12959112,0.799680281,-0.306233958,0.352772161,-1.782882148,0.000113208,-1.959524985,1.55E-05,54194
Akap9,-0.102303792,0.859098981,-0.033402573,0.935663508,-0.694605229,0.054694955,-0.62570401,0.049085389,100986
Akna,0.538883881,0.080450699,0.274354651,0.109378151,-2.196869197,5.93E-08,-2.461398427,5.85E-09,100182
Akr1a1,0.047080641,0.799680281,0.126983178,0.287385979,-0.013843918,0.914169748,0.066058619,0.522838555,58810
Akr1b1,0.024597564,0.884797629,0.105172783,0.316951658,0.556599748,0.000138143,0.637174967,1.36E-05,11677
Akr1b10,0.069419615,0.75958876,0.135117937,0.36782419,0.083297345,0.576306832,0.148995668,0.245056429,67861
Akr1b7,0.357301985,0.198531033,0.348231766,0.084496656,-0.041870708,0.835439315,-0.050940928,0.759565664,11997
Akr1c13,-0.137393574,0.512714524,0.292666499,0.069429931,-0.444674196,0.006844834,-0.014614123,0.913123625,27384
Akr1e2,0.636567373,0.083895247,0.236073596,0.232784374,1.920952422,8.36E-07,1.520458645,1.74E-06,56043
Akr7a2,-0.131504605,0.566005569,0.027452599,0.882671538,0.235555066,0.138351494,0.39451227,0.010042418,110198
Akt1,0.138926084,0.659703396,-0.124887524,0.579439951,-0.159747255,0.451751732,-0.423560863,0.031437184,11651
Akt2,0.128814428,0.687121375,-0.291778181,0.178627355,-0.544764197,0.018825667,-0.965356806,0.000178569,11652
Aktip,NA,NA,0.454379216,0.090395518,NA,NA,-3.293301141,2.60E-07,14339
