gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
Cndp2,-0.255989922,0.774883597,-0.645515056,0.736923449,-0.287868232,0.849113941,0.101656902,0.940946809,66054
Cnp,-0.127311774,0.839156114,0.268726954,0.799688365,0.417272042,0.676295401,0.021233314,0.994323375,12799
Col12a1,1.036045181,0.27824092,-0.207873991,0.884496849,0.174728258,0.922086131,1.418647431,0.148344234,12816
Col1a2,-0.632987683,0.414362988,-1.091907614,0.636038213,0.800748896,0.518685,1.259668827,0.118022707,12843
Coro1b,-0.647623524,0.293651446,0.42933491,0.733939076,0.228145392,0.834297072,-0.848813041,0.180840946,23789
Coro1c,0.286985644,0.872686097,1.901926391,0.654905946,0.332462609,0.922086131,-1.282478138,0.516292747,23790
Cp,0.52343185,0.185649338,0.075577883,0.901602552,-0.335873344,0.544313452,0.111980623,0.813091489,12870
Cpb2,0.139824392,0.742200975,0.150583341,0.846241099,-0.190298503,0.808918664,-0.201057451,0.709848291,56373
Cpn1,-0.513407429,0.191116282,-0.28935168,0.733939076,0.123891651,0.845649522,-0.100164098,0.835765681,93721
Cpn2,-0.419846304,0.219527868,-0.189872058,0.745266601,0.255921052,0.598538471,0.025946806,0.966638845,71756
Cps1,-2.320856368,0.165951807,-0.48709126,0.860208366,-0.032642153,0.985876042,-1.866407261,0.252272007,227231
Creg1,-0.587037054,0.301292176,0.36579225,0.73959492,0.03329441,0.967382967,-0.919534894,0.119825886,433375
Crp,0.147399452,0.742200975,0.105741061,0.878291622,-0.047585515,0.944729885,-0.005927124,0.997502492,12944
Csf1r,1.467451236,0.212373012,0.75325447,0.73959492,-0.149793056,0.939253848,0.56440371,0.664983123,12978
Cst3,0.76319037,0.191603121,-0.306848146,0.762532297,0.338512123,0.680889214,1.408550638,0.038625725,13010
Ctbs,0.97823431,0.165951807,-0.023555791,0.997159878,-0.394955469,0.680889214,0.606834632,0.36794642,74245
Ctsa,0.398074511,0.570215913,-0.013721811,0.997159878,-0.001683604,0.99704776,0.410112718,0.606250759,19025
Ctsb,0.643570899,0.130210696,0.066130064,0.913686032,-0.351235361,0.539258372,0.226205474,0.59649277,13030
Ctsz,0.286656844,0.678851016,-0.159411548,0.878291622,0.763568625,0.512852857,1.209637017,0.102480703,64138
Cyb5r3,-0.933036343,0.163126662,0.017419267,0.997159878,0.64194795,0.518685,-0.308507661,0.664983123,109754
Dars,-0.686691357,0.336531836,-0.588568925,0.701593182,0.184134997,0.876729007,0.086012565,0.931576363,226414
Dhrs11,-1.515710452,0.327929294,-0.914718694,0.74013472,-1.099683541,0.638044596,-1.700675299,0.270827642,192970
Dmtn,-1.853763509,0.072827599,-0.933967666,0.636038213,-0.539867743,0.680889214,-1.459663586,0.112846855,13829
Dnpep,-0.420531034,0.391447776,-0.156385814,0.857601993,-0.182654171,0.834297072,-0.446799391,0.363049551,13437
Dpep2,1.228850776,0.080407045,-0.170850807,0.873783619,-0.432022447,0.645987761,0.967679135,0.137028679,319446
Dpp4,1.0418166,0.124699537,-0.674476618,0.636038213,-0.913129159,0.323901929,0.803164059,0.187395039,13482
Dync1h1,-0.610968113,0.581752044,0.604169904,0.766611821,0.197765801,0.922086131,-1.017372217,0.39275213,13424
Ecm1,0.96782655,0.389689458,-0.567183995,0.766611821,0.88047363,0.581644312,2.415484175,0.055077733,13601
Eef1a1,-0.661340601,0.336531836,0.185307905,0.873783619,0.433113741,0.680889214,-0.413534765,0.575609473,13627
Eef1g,-0.383108367,0.678366771,0.848309372,0.694654669,0.367727297,0.827002077,-0.863690442,0.363049551,67160
Efemp1,0.943976429,0.129548072,-0.243989015,0.799688365,0.071662759,0.939253848,1.259628203,0.05003375,216616
Egfr,1.601049254,0.164572402,0.044584285,0.992846515,-0.039315847,0.977293365,1.517149122,0.171078717,13649
Ehd1,-0.418866339,0.808507498,0.52358387,0.865807769,0.756825027,0.799746202,-0.185625183,0.940993922,13660
Ehd3,-0.507125773,0.427207363,-0.109906817,0.912023483,0.332775433,0.714074738,-0.064443523,0.940993922,57440
Ehd4,-0.344793251,0.536376885,0.373532557,0.73959492,0.063145334,0.943267589,-0.655180474,0.254121085,98878
Eif2s1,-1.199786279,0.278890075,-0.552197567,0.766611821,0.387489776,0.842433629,-0.260098937,0.85665142,13665
Eif4a1,0.107148351,0.847742951,0.661374711,0.636038213,-0.276458389,0.742895277,-0.830684749,0.161566919,13681
Eif4e,0.77703049,0.310917392,-0.757335129,0.654905946,-1.362821545,0.238371772,0.171544074,0.857851596,13684
Emilin1,-0.612724844,0.478147564,0.809228576,0.680746359,0.201497562,0.892395681,-1.220455858,0.165650778,100952
Eno1,-0.114494815,0.840483533,0.276225656,0.787390677,0.134479051,0.894709857,-0.25624142,0.710588032,13806
Enpp2,0.793838805,0.36872009,-0.019163858,0.997159878,-0.408475153,0.760015578,0.40452751,0.692653094,18606
Epb41,-2.011256192,0.035231491,-0.43438385,0.762532297,-0.006009427,0.99704776,-1.58288177,0.071051634,269587
Epb42,-2.496840254,0.012085753,-0.572636096,0.733939076,0.538773941,0.645987761,-1.385430217,0.089744375,13828
Erap1,0.445105039,0.545589126,-1.532983061,0.501258115,-1.67710686,0.176725463,0.300981239,0.736069858,80898
Erbin,0.865542318,0.742200975,-1.197511749,0.799688365,-1.42729244,0.726745653,0.635761627,0.857851596,59079
Etf1,-0.409689124,0.577787422,0.807523281,0.654905946,0.107109511,0.936684623,-1.110102894,0.167065187,225363
Extl2,0.97327253,0.200125337,0.265003398,0.843524622,-0.535001937,0.638044596,0.173267196,0.857851596,58193
F10,-0.168836543,0.698589964,-0.294398113,0.73959492,0.388097388,0.550487816,0.513658958,0.263700031,14058
F12,0.018482761,0.96785525,-0.229950217,0.74013472,0.124352956,0.845649522,0.372785933,0.319840585,58992
F13a1,-0.792616182,0.169455926,-0.385870264,0.733939076,1.091062282,0.230609777,0.684316363,0.219827007,74145
F13b,-0.419396196,0.427497034,-0.020117338,0.995410638,1.158359845,0.176725463,0.759080987,0.163728549,14060
F2,-0.267313989,0.523236744,-0.072682584,0.912023483,0.258370269,0.680889214,0.063738863,0.910654123,14061
F5,-0.186225332,0.636061091,-0.002083645,0.997159878,0.373429389,0.539258372,0.189287702,0.695018461,14067
F7,0.043685187,0.947097864,-0.442780376,0.733939076,-0.059587838,0.944729885,0.426877725,0.502380709,14068
F9,0.008784517,0.988205322,0.104884755,0.904925449,0.199169999,0.845649522,0.10306976,0.895303433,14071
Fabp1,-2.556905097,0.213647544,-0.640990168,0.858003348,1.911963543,0.539258372,-0.003951386,0.997502492,14080
Fam20c,0.677415966,0.336531836,0.435684566,0.74013472,-0.38586985,0.702488166,-0.144138449,0.86897512,80752
Fap,1.149178347,0.23937601,-0.823806777,0.700598262,-0.368023221,0.834297072,1.604961902,0.112846855,14089
Fasn,-1.846105826,0.018440771,-0.241555748,0.842829494,0.03258226,0.969177802,-1.571967819,0.038625725,14104
Fbln1,1.052386128,0.07808912,-0.062629267,0.941487478,0.083709278,0.923720852,1.198724672,0.04502821,14114
Fcgbp,2.796110577,0.012085753,1.664293075,0.501258115,-0.135544199,0.929238792,0.996273303,0.264056527,215384
Fermt3,-1.049089234,0.238153723,0.621889512,0.733939076,0.702303963,0.57945636,-0.968674783,0.270827642,108101
Fetub,0.180248586,0.615558631,-0.049545747,0.936940834,-0.477415692,0.452135056,-0.24762136,0.533465721,59083
Fga,-0.271338016,0.589162755,-0.050523325,0.962435979,0.680663429,0.452135056,0.459848738,0.393005102,14161
Fgb,-0.419110916,0.330796731,0.093039733,0.885387344,0.965431645,0.176725463,0.453280997,0.295682318,110135
Fgg,-0.924257252,0.165951807,-0.099770719,0.926665979,0.506037148,0.581644312,-0.318449385,0.655462673,99571
Fgl1,0.469966572,0.742200975,0.210441732,0.936940834,-0.75438219,0.732182365,-0.494857351,0.793953369,234199
Flna,-1.764090791,0.154746731,0.433648332,0.842829494,1.374614456,0.474283826,-0.823124667,0.504034015,192176
Flnc,-0.9226402,0.407003777,0.449290797,0.819350183,1.039819227,0.539258372,-0.332111769,0.808578776,68794
Flt4,0.717406937,0.165951807,-0.050680984,0.953556023,0.156231416,0.848585912,0.924319337,0.082497068,14257
Fn1,-0.343118775,0.394103047,-0.241827602,0.74013472,0.38311675,0.537400825,0.281825577,0.512142536,14268
Ftl2,-0.489445539,0.526237945,-1.189864602,0.587536572,-0.380682006,0.744311905,0.319737057,0.731498748,14337
Fuca1,1.572214032,0.129548072,-0.393394598,0.799688365,-1.029409199,0.512852857,0.936199432,0.326912404,71665
G6pdx,-0.168730853,0.75209725,-0.136113849,0.873783619,-0.84752,0.3266529,-0.880137004,0.13738789,14381
Ganab,0.126566905,0.808507498,-0.313500494,0.74013472,-0.284238358,0.710448495,0.15582904,0.815358362,14376
Gc,-0.018373657,0.971740355,-0.169582407,0.843524622,-0.146125775,0.849113941,0.005082976,0.997502492,14473
Gclc,0.278228398,0.809678435,0.429292336,0.843524622,-0.032009798,0.981273924,-0.183073736,0.910654123,14629
Gda,-0.970912334,0.26335849,-0.426486838,0.766611821,-0.242628765,0.866672848,-0.787054262,0.363049551,14544
Gdi2,-1.024244092,0.027000418,-0.211550023,0.753365273,0.273939277,0.638044596,-0.538754792,0.171062773,14569
Ggh,0.567828635,0.737895939,-0.938652056,0.766611821,-2.581875074,0.348054078,-1.075394382,0.574531211,14590
Glo1,-1.219193327,0.165951807,-0.469910019,0.749677919,-0.459937638,0.703085253,-1.209220946,0.163728549,109801
Gm10358,-1.955775107,0.009482352,-0.153454305,0.868174205,0.414295532,0.581644312,-1.388025271,0.038625725,100039229
Gm20390,-0.780362105,0.129548072,-0.149769674,0.858055354,-0.306001161,0.676295401,-0.936593593,0.067960094,
Gm20489,1.742403371,0.012085753,-0.301535731,0.753365273,-0.679116896,0.470659053,1.364822205,0.038625725,
Gm20547,0.413533928,0.297895682,0.095802806,0.873783619,-0.163314017,0.815320301,0.154417106,0.749677614,
Gm3839,-1.955775107,0.009482352,-0.153454305,0.868174205,0.414295532,0.581644312,-1.388025271,0.038625725,100042427
Gnb2,-0.24957435,0.691418223,0.325592938,0.766611821,0.381387231,0.680889214,-0.193780057,0.807819144,14693
Gnpda1,-0.105757054,0.938877092,-0.896796273,0.733939076,-0.341228339,0.866672848,0.44981088,0.753238094,26384
Got1,-0.435455694,0.555822096,-0.119788751,0.926665979,-0.227130725,0.850317859,-0.542797668,0.503821033,14718
Gp1ba,0.483616585,0.238418374,-0.136963324,0.846241099,-0.62352836,0.323901929,-0.002948451,0.997502492,14723
Gp1bb,-1.139879144,0.337666543,0.543213703,0.790827415,1.068764817,0.539258372,-0.614328029,0.638858042,14724
